id,text
16,"This restaurant has AWESOME customer service. We came in an hour before closing time and yet they still served us an awesome meal. Our waitress was awesome and had awesome manners too. Their hummus is fantastic. I had their pasta with shrimp and their shrimp were perfect. Their Fat Greek Salad is awesome too. All their seafood is fresh, literally. The cook goes out and buys it fresh or still alive...
Awesome place overall."
17,"This place doesn't look like much from the outside, but it is sooo good. The interior is delightfully homey, and the staff is incredibly attentive and friendly.
The gyro was incredible, although maybe not quite as good as the Bay Area's Opa's. The fries were some of the best I've had (crispy on the outside but nice and soft on the inside).
If we go back to Vegas we're definitely coming back to the Fat Greek."
18,"Nice Place! Good service (they were extremely patient with us and our baby). We had the Lavash wrap and the Falafel wrap and both of them were good & fresh tasting. The falafels were good, but not great.
The fries were the best. We would surely visit again."
19,Best Gyro in town. Great service and nice establishment.
20,"I was on the search for a good gyro for lunch and I brought along two of my friends for the journey. I like this place and the fact that when you walk in and its decorated with ""Greek colors."" I came here on a Friday for lunch and it was pretty packed. That was definitely a good sign! My friends both ordered the Fat Greek Gyro and I just ordered the Traditional Gyro. The Traditional Gyro was tasty, but I felt the pita bread was a bit too tough. The rice pilaf was good, but extremely buttery. My friend ordered the ""Greek"" fries and it came with melted feta cheese on top. It looked good, but I was too full to even try it. Overall, I think the lunch combo is decent deal and I will be back when I need a good gyro."
21,Im Greek & it's nice to see an actual restaurant in Vegas that represents are food so amazingly. The owner Yiannis is very friendly and anytime I walk in there i feel at home. Even if your not a fan of Greek food you cant pass up trying this place out from appetizer to desert you'll be amazed at how authentic it is!
22,"Love it! My favorite thing is whenever I'm in a bind for a potluck, I run over to these guys and grab two or three of their gyro salads. They're always a huge hit! Their homemade hummus is TO DIE FOR, and their steaks and lamb chops are always seasoned/cooked to perfection. It can be either very reasonable, or a little pricey, depending on what you order, but always worth it. The atmosphere is great... I've never been to Greece, but I totally felt like I was transported."
23,"Wonderful and amazing Greek food here.  Very authentic.  The atmosphere is light and airy.  It's got a full bar.  It's a great place to go to sit and chat over a great meal.  The food is reasonably priced for what you get (a gyro plate will feed me for two days).  The Chicken Lemon soup is absoultely amazing, as is the spiced feta.  Honestly, I've loved everything I've tried here.
The gyros are super popular.  If you hit a rush, you might wait for a while to get one.  However, it's always fresh, perfectly done, and cut from the spit as it's ordered (and often as it's done, thus the wait--which is WELL worth it).  Call ahead and order if you are in a rush.
The pastires are really not good for you, which is just as it should be.  The neopolitians are like eating clouds.  The baklava is inspiring, and the almond baklava is to die for.
I grew up in a small town that was heavy with Greek immigrants.  I grew to love the food.  I searched to find food to match it for years before finding this place.  It's wonderful."
24,"Maybe it was due to the outside temp being 115 and probably 85 in the restaurant, but there was an odd smell as soon as I walked in the door.
The decor was pleasing.  The service was very spotty.  Maybe the heat affected everyone there.
The food was good and I'd have given 4 stars except for the accompanying odor.  The gyro meat was plentiful - a little too plentiful.  Sometimes more isn't better.  The falafel was incredible.  Best I've had in Las Vegas."
25,"the best, period!"
26,"Wow. My  best friend and partner-in-dining out, Ana, raved about eating here, and I thought to finally go out with her and give this place a try; I didn't expect much, but I did trust my friends' assessment--I am definitely glad I did! The restaurant is tucked away in an urban shopping center, without any special banner or advertisement. I almost didn't find it, driving past it. The interior is very average Greek-restaurant--light blue and white--colors of the Greek flag are decorated inside. I will say that the place was extremely clean and meticulous, which I appreciated. The food pleasantly surprised me. My Greek salad was very flavorful. Pita bread was average. Babaghanoush was as good as it gets. Chicken shawarma was slightly above average--but very fresh. Deserts were too die for--great prices, too! I had Napolean--huge portion for only $3. Incredible.
I have some food allergies, and both, the waiter and the chef came out to discuss which foods had certain allergies etc. Very much appreciated!
Service was good, although it did take a lit...
